plot,plot_surf,crop_2018,crop_2019,crop_2020,rotation,frac_mean,apar_year,rapar
182123,1.1,LU7,LUZ,LUZ,LU7_LUZ_LUZ,0.5505483651272867,1196.0713820139708,0.5999564333122596
182125,2.23,LU7,LUZ,LUZ,LU7_LUZ_LUZ,0.6352083191579344,1333.924287902909,0.6691042609273609
182126,1.38,LU7,LUZ,LUZ,LU7_LUZ_LUZ,0.39727110709746166,875.1594002707559,0.438985097596797
182128,2.67,LU7,LUZ,LUZ,LU7_LUZ_LUZ,0.38641810977532876,807.7831759101919,0.4051887875560486
182303,1.03,LU7,LUZ,LUZ,LU7_LUZ_LUZ,0.2951001378028926,598.1249602337019,0.30002299462479515
182318,1.29,LU7,LUZ,LUZ,LU7_LUZ_LUZ,0.5997547206072787,1227.7789502124567,0.6158611358337238
182321,0.74,LU7,LUZ,LUZ,LU7_LUZ_LUZ,0.39288907192014416,795.6811656039841,0.3988703315749496
185573,8.23,BTH,MIS,BTH,BTH_MIS_BTH,0.26788606971489337,710.0761728697279,0.3614543503889208
187486,3.24,MIS,BTH,BTH,MIS_BTH_BTH,0.2748503073085213,752.6335226240432,0.3843058272201509
189005,2.75,ORH,BTH,BTH,ORH_BTH_BTH,0.3292836215891157,785.4362047601359,0.4012526150738777
189016,9.85,MIS,BTH,BTH,MIS_BTH_BTH,0.2700329093694353,766.686530920175,0.390271061857653
190168,1,PTR,PTR,PTR,PTR_PTR_PTR,0.4634718561679724,843.5388508767982,0.4364385208787944
190170,0.98,PTR,PTR,PTR,PTR_PTR_PTR,0.46931316740248363,856.1345231127548,0.4429553950623854
190247,1.75,AVH,TTH,TTH,AVH_TTH_TTH,0.2699053300506706,616.0930367599071,0.31876034329388636
196844,2.11,PTR,PTR,PTR,PTR_PTR_PTR,0.4465280065698405,890.5445546838749,0.4617973424456588
201868,4.87,TTP,MCR,MPC,TTP_MCR_MPC,0.31358817055198157,652.8654379303932,0.3377860139661108
201934,4.12,TTP,MCR,MPC,TTP_MCR_MPC,0.44478544989612623,886.2500480931068,0.4585368649191103
201936,5.66,TTH,SRS,TTH,TTH_SRS_TTH,0.35333178645498714,750.3687618023301,0.38823325348234905
203158,2.76,BTH,MPC,MCR,BTH_MPC_MCR,0.22494903139065506,527.4645119620185,0.2733679957846011
207833,5.96,PTR,MIE,BTH,PTR_MIE_BTH,0.3944535891363404,845.424637184597,0.438902051762775
208098,2.51,MIE,BTH,TTH,MIE_BTH_TTH,0.32675109556527093,710.9294326316544,0.3690788899643196
209569,6.08,TRN,BTH,BTH,TRN_BTH_BTH,0.19460606699559366,0,NA
210037,1.56,CZH,BTH,BTH,CZH_BTH_BTH,0.40166200691711773,875.1593541409627,0.4469994597842786
210041,0.89,CZH,BTH,BTH,CZH_BTH_BTH,0.3126725926705461,669.5453161134866,0.3419793128962159
210445,0.62,PTR,PTR,PTR,PTR_PTR_PTR,0.4019268146414909,761.1387235228642,0.3937886765851364
210446,0.64,TTH,BTH,PTR,TTH_BTH_PTR,0.3439317220515443,694.2256590088228,0.35892346939989755
210454,3.63,PTR,PTR,PTR,PTR_PTR_PTR,0.39402846488176074,853.4755461769267,0.4410164144386081
210464,0.94,PTR,PTR,PTR,PTR_PTR_PTR,0.42644627997097106,857.3121729701302,0.4435457237698849
210537,3.07,TTH,BTH,BTH,TTH_BTH_BTH,0.26866113888997883,638.6062726687816,0.33016754133529236
210539,0.83,PTR,PTR,PTR,PTR_PTR_PTR,0.4165938145643767,807.5784758449174,0.4178151096684527
210540,0.59,PTR,PTR,PTR,PTR_PTR_PTR,0.47849633889746995,913.2620188325491,0.4724923731471879
211084,0.42,PTR,PTR,PTR,PTR_PTR_PTR,0.49048493543399796,999.5308584851332,0.5171250940263614
211917,3.58,TTH,TTH,TTH,TTH_TTH_TTH,0.2011851318937556,507.0219153213734,0.26104666249977587
211994,3.46,TTH,TTH,TTH,TTH_TTH_TTH,0.2147003300894603,533.768238190008,0.27481734599098745
215089,3.52,CZH,BTH,BTH,CZH_BTH_BTH,0.451576351688798,1009.2835394241516,0.5128407957403629
216419,3.88,MIS,MIS,BTH,MIS_MIS_BTH,0.2796935781673093,760.3288846072097,0.38634105776541033
216424,4.01,BTH,MIS,BTH,BTH_MIS_BTH,0.28762201965227363,759.0770448480705,0.3841714323320327
