date,day_num,plot,ndvi,SURF_PARC,CODE_CULTU_2018,CODE_CULTU_2019,CODE_CULTU_2020,crop,year
2020-05-01,852,13275806,0.8777061574697154,3.67,BTH,MIE,BTH,BTH,2020
2020-06-15,897,13279965,0.6310050722309009,2.18,BTH,MIE,BTH,BTH,2020
2020-02-26,787,6873670,0.3358048251734743,0.3,BTH,BTH,BTH,BTH,2020
2020-03-31,821,10904771,0.6088431898415346,3.08,BTH,BTH,BTH,BTH,2020
2020-12-09,1074,6804802,0.2235358212144765,1.54,BTH,MIS,BTH,BTH,2020
2020-04-27,848,6751874,0.7676467770090256,1.99,ORH,TRN,BTH,BTH,2020
2020-04-20,841,6855191,0.5800654617555959,3.25,BTH,ORH,BTH,BTH,2020
2020-10-02,1006,10913597,0.12909407718933358,2.33,BTH,MIS,BTH,BTH,2020
2020-01-24,754,6830143,0.32312850356013373,2.81,BTH,ORH,BTH,BTH,2020
2020-02-08,769,13287498,0.39462047346843304,1.7,BTH,MIS,BTH,BTH,2020
2020-11-21,1056,6784772,0.797469769706431,1.04,MIS,BTH,BTH,BTH,2020
2020-03-05,795,6751649,0.7940838854517487,1.67,BTH,TRN,BTH,BTH,2020
2020-06-18,900,10898297,0.8437551932168346,3.02,BTH,MIS,BTH,BTH,2020
2020-02-29,790,6758507,0.5496193081966537,2.15,LIH,BTH,BTH,BTH,2020
2020-11-04,1039,6845455,0.24279333421002489,1.91,MIE,BTH,BTH,BTH,2020
2020-10-05,1009,13277557,0.32032609677930146,2.43,BTH,MIE,BTH,BTH,2020
2020-10-03,1007,6830793,0.15031100448614074,3.97,BTH,MIE,BTH,BTH,2020
2020-02-03,764,10908160,0.4169152488185725,3.3,TRN,ORH,BTH,BTH,2020
2020-12-03,1068,6823643,0.2003068532498813,1.09,LU7,LUZ,BTH,BTH,2020
2020-11-18,1053,13294191,0.47588409772145573,1.48,PTR,PTR,BTH,BTH,2020
2020-05-13,864,6762605,0.7839694778251569,3.09,BTH,TRN,BTH,BTH,2020
2020-12-15,1080,6850222,0.34214264781605636,1.42,BTH,AVP,BTH,BTH,2020
2020-03-31,821,10911414,0.9116759167048546,8.43,BTH,TRN,BTH,BTH,2020
2020-11-10,1045,10893928,0.14546449955888088,1.59,BTH,SOG,BTH,BTH,2020
2020-12-03,1068,6844242,0.3968281682332976,2.46,BTH,BTH,BTH,BTH,2020
2020-11-14,1049,6806266,0.22821422079393489,2.56,MIS,MIS,BTH,BTH,2020
